t,asset,close
1771326000,btc,67808.5
1771326000,eth,1966.95
1771329600,btc,67864.0
1771329600,eth,1968.4
1771333200,btc,68090.0
1771333200,eth,1989.15
1771336800,btc,66832.0
1771336800,eth,1947.35
1771340400,btc,67351.0
1771340400,eth,1967.05
1771344000,btc,67479.0
1771344000,eth,1979.55
1771347600,btc,67200.5
1771347600,eth,1965.65
1771351200,btc,68067.0
1771351200,eth,1998.4
1771354800,btc,67752.0
1771354800,eth,1997.05
1771358400,btc,67704.5
1771358400,eth,1993.7
1771362000,btc,67646.0
1771362000,eth,1999.55
1771365600,btc,67500.0
1771365600,eth,1993.7
1771369200,btc,67472.5
1771369200,eth,1991.5
1771372800,btc,67261.0
1771372800,eth,1981.0
1771376400,btc,67117.0
1771376400,eth,1977.15
1771380000,btc,67289.5
1771380000,eth,1987.0
1771383600,btc,67578.5
1771383600,eth,1995.95
1771387200,btc,67770.0
1771387200,eth,1997.65
1771390800,btc,67599.5
1771390800,eth,1995.4
1771394400,btc,67815.5
1771394400,eth,2001.05
1771398000,btc,68100.0
1771398000,eth,2017.55
1771401600,btc,68106.0
1771401600,eth,2019.95
1771405200,btc,68130.0
1771405200,eth,2015.65
1771408800,btc,67768.5
1771408800,eth,1996.05
1771412400,btc,67330.0
1771412400,eth,1980.9
1771416000,btc,67408.5
1771416000,eth,1980.8
1771419600,btc,67193.5
1771419600,eth,1969.95
1771423200,btc,67191.5
1771423200,eth,1973.05
1771426800,btc,67671.0
1771426800,eth,1984.6
1771430400,btc,67115.5
1771430400,eth,1971.1
1771434000,btc,67157.5
1771434000,eth,1973.65
1771437600,btc,66336.0
1771437600,eth,1952.55
1771441200,btc,66126.0
1771441200,eth,1940.15
1771444800,btc,66212.5
1771444800,eth,1938.65
1771448400,btc,66292.0
1771448400,eth,1940.2
1771452000,btc,66369.5
1771452000,eth,1946.3
1771455600,btc,66427.0
1771455600,eth,1954.65
1771459200,btc,66405.5
1771459200,eth,1955.15
1771462800,btc,66835.0
1771462800,eth,1965.3
1771466400,btc,66820.0
1771466400,eth,1966.65
1771470000,btc,66964.5
1771470000,eth,1971.35
1771473600,btc,66780.5
1771473600,eth,1968.1
1771477200,btc,66850.0
1771477200,eth,1968.75
1771480800,btc,67135.0
1771480800,eth,1981.85
1771484400,btc,67180.5
1771484400,eth,1980.45
1771488000,btc,66940.0
1771488000,eth,1969.4
1771491600,btc,66799.5
1771491600,eth,1962.25
1771495200,btc,66801.0
1771495200,eth,1958.85
1771498800,btc,66466.5
1771498800,eth,1948.9
1771502400,btc,66479.5
1771502400,eth,1947.2
1771506000,btc,65870.0
1771506000,eth,1920.25
1771509600,btc,66391.0
1771509600,eth,1935.35
1771513200,btc,66378.5
1771513200,eth,1925.35
1771516800,btc,66299.0
1771516800,eth,1921.15
1771520400,btc,66355.0
1771520400,eth,1919.9
1771524000,btc,67003.0
1771524000,eth,1938.95
1771527600,btc,67042.5
1771527600,eth,1939.8
1771531200,btc,67133.0
1771531200,eth,1949.0
1771534800,btc,66905.0
1771534800,eth,1945.85
1771538400,btc,66914.0
1771538400,eth,1942.7
1771542000,btc,66988.0
1771542000,eth,1947.7
1771545600,btc,67222.5
1771545600,eth,1956.8
1771549200,btc,67263.0
1771549200,eth,1952.5
1771552800,btc,67233.0
1771552800,eth,1949.0
1771556400,btc,67354.0
1771556400,eth,1953.95
1771560000,btc,67254.5
1771560000,eth,1938.3
1771563600,btc,67786.0
1771563600,eth,1954.5
1771567200,btc,67839.0
1771567200,eth,1957.5
1771570800,btc,67785.5
