ts_us,asset,expiry_us,strike,opt_type,mark_iv,bid_iv,ask_iv,mark_price,underlying_price,delta,open_interest
1761958796173000,eth,1762156800000000,3750,put,49.6,47.65,51.62,0.006,3847.6666,-0.25022,386.0
1761958799470000,eth,1769760000000000,5000,put,68.22,,110.81,0.3365,3889.1131,-0.71596,0.0
1761958795442000,eth,1769760000000000,3700,put,68.0,67.41,68.73,0.1081,3889.1077,-0.37582,101.0
1761958795442000,eth,1762070400000000,4250,put,57.5,,329.79,0.1048,3846.7637,-0.99812,0.0
1761958795442000,eth,1762070400000000,3900,put,39.62,32.12,47.09,0.0179,3846.7637,-0.71611,290.0
1761958797456000,eth,1762070400000000,3500,put,69.67,66.01,76.51,0.0002,3846.7996,-0.01072,736.0
1761958799470000,eth,1764316800000000,3600,put,68.35,67.68,68.7,0.0432,3860.5,-0.32016,14398.0
1761958799470000,eth,1774598400000000,7500,put,73.13,,126.38,0.9387,3914.76,-0.87955,0.0
1761958796449000,eth,1774598400000000,5400,put,69.13,,107.84,0.4477,3914.77,-0.69709,81.0
1761958795442000,eth,1774598400000000,3500,put,68.75,68.33,69.21,0.1154,3914.77,-0.31742,12630.0
1761958795409000,eth,1774598400000000,1600,put,84.37,83.15,85.75,0.0065,3914.72,-0.02606,4071.0
1761958798463000,eth,1782460800000000,7400,put,71.69,,113.12,0.9234,3959.89,-0.78604,0.0
1761958799470000,eth,1782460800000000,5500,put,69.15,41.22,102.73,0.4994,3959.89,-0.62187,20.0
1761958798463000,eth,1782460800000000,3600,put,68.5,67.9,69.1,0.1653,3959.88,-0.32683,3152.0
1761958796449000,eth,1782460800000000,1500,put,81.19,80.69,82.28,0.0118,3959.89,-0.03513,4034.0
1761958798463000,eth,1766736000000000,7500,put,79.83,,176.17,0.939,3873.09,-0.97567,35.0
1761958799470000,eth,1766736000000000,5400,put,69.18,62.48,75.01,0.4107,3873.09,-0.86428,675.0
1761958799470000,eth,1766736000000000,4300,put,66.73,65.53,69.21,0.1728,3873.1,-0.60747,1892.0
1761958797456000,eth,1766736000000000,3000,put,72.66,71.89,73.55,0.0247,3873.13,-0.14808,22783.0
1761958795442000,eth,1766736000000000,1500,put,96.63,95.81,100.42,0.0004,3873.14,-0.00336,6228.0
1761958795442000,eth,1790323200000000,6400,put,69.93,40.14,103.25,0.7114,4009.08,-0.64567,0.0
1761958798463000,eth,1790323200000000,4200,put,68.41,67.35,69.26,0.2849,4009.05,-0.40026,513.0
1761958795442000,eth,1790323200000000,1500,put,78.0,76.33,79.14,0.0185,4009.08,-0.04467,839.0
1761958799470000,eth,1790323200000000,10000,put,73.81,,119.38,1.542,4009.05,-0.83039,0.0
1761958799470000,eth,1763712000000000,4600,put,65.19,,138.45,0.2032,3856.685,-0.85766,0.0
1761958799470000,eth,1763712000000000,3800,put,65.66,64.93,66.01,0.0542,3856.685,-0.43131,165.0
1761958795442000,eth,1761984000000000,4125,put,73.13,,593.66,0.0725,3845.9944,-0.99963,50.0
1761958796449000,eth,1761984000000000,3850,put,35.41,35.07,39.53,0.0045,3845.9944,-0.53943,2712.0
1761958796258000,btc,1769760000000000,125000,put,43.73,42.89,44.28,0.1665,111258.0538,-0.66519,0.0
1761958797908000,btc,1769760000000000,104000,put,45.54,45.03,45.85,0.0584,111258.0262,-0.3405,14.9
1761958797828000,btc,1764316800000000,50000,put,97.94,,99.67,0.0001,110093.97,-0.00103,678.7
1761958798915000,btc,1764316800000000,150000,put,52.27,,65.34,0.3634,110093.57,-0.9818,194.2
1761958798915000,btc,1764316800000000,125000,put,40.7,36.43,44.01,0.1429,110092.54,-0.86114,176.7
1761958796901000,btc,1764316800000000,106000,put,42.29,41.73,42.72,0.0291,110093.73,-0.34993,1585.4
1761958798915000,btc,1763712000000000,109000,put,40.55,39.94,41.01,0.0336,110003.41,-0.44289,20.7
1761958797908000,btc,1762502400000000,113000,put,36.48,33.52,38.06,0.0373,109806.84,-0.71721,273.9
1761958799922000,btc,1762243200000000,114000,call,30.46,29.18,31.06,0.0013,109746.3618,0.09679,39.9
1761958799922000,btc,1762243200000000,102000,call,42.3,,168.13,0.0711,109746.3618,0.96728,0.0
1761958799922000,btc,1762156800000000,108000,call,27.15,16.89,30.82,0.0186,109726.2591,0.77275,14.2
1761958799922000,btc,1762070400000000,117000,call,44.62,,46.7,0.0001,109706.1563,0.00794,76.9
1761958797908000,btc,1762070400000000,106000,call,29.66,,204.68,0.034,109705.8844,0.97481,5.5
1761958797885000,btc,1761984000000000,116000,call,54.68,,95.99,0.0,109686.2429,0.00015,159.8
1761958799888000,btc,1761984000000000,105000,call,55.5,,460.79,0.0427,109685.2348,0.99737,0.2
1761958796563000,eth,1762502400000000,4350,call,60.99,60.02,61.74,0.0024,3850.66,0.0691,340.0
1761958799106000,eth,1762502400000000,3800,call,61.09,59.57,62.49,0.0388,3850.61,0.58123,1390.0
1761958796449000,eth,1762243200000000,4300,call,57.41,54.17,60.2,0.0004,3848.3522,0.02232,42.0
1761958799470000,eth,1762243200000000,3800,call,53.8,52.03,56.14,0.0271,3848.3117,0.6075,28.0
1761958796449000,eth,1762156800000000,4100,call,49.67,47.1,51.68,0.0009,3847.5829,0.05539,63.0
1761958795442000,eth,1762156800000000,3775,call,49.12,35.53,54.07,0.0266,3847.5329,0.69442,0.0
1761958795442000,eth,1769760000000000,5500,call,69.3,68.6,70.03,0.0335,3889.1077,0.2024,48.0
1761958795442000,eth,1769760000000000,3800,call,67.84,67.22,68.51,0.1442,3889.1077,0.59383,100.0
1761958798463000,eth,1762070400000000,4300,call,62.26,,75.39,0.0,3846.8096,0.0014,248.0
1761958798140000,eth,1762070400000000,3925,call,40.16,38.4,41.39,0.0027,3846.8096,0.20317,693.0
1761958799470000,eth,1762070400000000,3600,call,56.76,,261.78,0.0645,3846.7795,0.97618,1.0
1761958795442000,eth,1764316800000000,6500,call,81.45,79.85,84.08,0.0009,3860.6,0.01295,6384.0
1761958799470000,eth,1764316800000000,4800,call,66.74,65.83,67.51,0.0115,3860.5,0.13518,7683.0
1761958795442000,eth,1764316800000000,3700,call,67.63,66.83,68.28,0.0948,3860.6,0.62636,715.0
1761958796166000,eth,1774598400000000,8000,call,74.16,73.41,74.77,0.0183,3914.72,0.09897,5349.0
1761958796449000,eth,1774598400000000,5500,call,69.26,68.88,69.8,0.0643,3914.77,0.28906,49648.0
1761958796449000,eth,1774598400000000,3600,call,68.55,67.86,69.15,0.2081,3914.77,0.65915,1298.0
1761958795442000,eth,1774598400000000,1800,call,81.14,77.36,82.28,0.5499,3914.77,0.96158,752.0
1761958795442000,eth,1782460800000000,7500,call,71.82,71.43,72.3,0.0529,3959.88,0.20799,357.0
1761958795970000,eth,1782460800000000,5600,call,69.27,68.91,69.74,0.1061,3959.88,0.36646,1279.0
1761958796449000,eth,1782460800000000,3800,call,68.42,67.69,68.85,0.2337,3959.89,0.63704,235.0
1761958795442000,eth,1782460800000000,2000,call,75.25,73.32,75.93,0.5222,3959.88,0.92353,134.0
1761958795442000,eth,1766736000000000,8000,call,82.18,80.75,82.59,0.0018,3873.14,0.01752,16579.0
1761958796449000,eth,1766736000000000,5500,call,69.53,68.61,69.88,0.0147,3873.13,0.1229,18216.0
1761958795442000,eth,1766736000000000,4400,call,66.75,66.19,67.22,0.0553,3873.14,0.35906,7493.0
1761958796449000,eth,1766736000000000,3200,call,70.73,69.59,71.41,0.2098,3873.12,0.79705,19136.0
1761958799470000,eth,1766736000000000,1600,call,95.47,,107.08,0.5876,3873.1,0.99484,1055.0
1761958795442000,eth,1790323200000000,6500,call,70.06,69.54,70.68,0.1118,4009.08,0.34639,219.0
1761958795442000,eth,1790323200000000,4400,call,68.48,67.97,69.18,0.2209,4009.08,0.572,252.0
1761958796449000,eth,1790323200000000,2000,call,73.22,71.32,74.94,0.5404,4009.08,0.91127,119.0
1761958796449000,eth,1790323200000000,11000,call,74.76,74.01,75.64,0.0391,4009.08,0.14254,1273.0
1761958796449000,eth,1763712000000000,4800,call,66.53,65.3,67.83,0.0065,3856.76,0.09403,71.0
1761958796449000,eth,1763712000000000,3850,call,65.49,65.1,66.16,0.0624,3856.76,0.53529,67.0
1761958795442000,eth,1761984000000000,4150,call,74.99,,124.58,0.0,3845.9944,0.00017,294.0
1761958799470000,eth,1761984000000000,3875,call,37.58,35.2,40.85,0.0015,3846.0135,0.2415,754.0
1761958795442000,eth,1763107200000000,5200,call,72.78,70.47,75.12,0.0009,3852.87,0.01833,768.0
1761958799922000,btc,1762502400000000,115000,call,36.45,35.69,36.29,0.0044,109805.71,0.17313,2217.5
1761958798899000,btc,1769760000000000,130000,call,43.76,43.37,43.98,0.0326,111258.0262,0.27212,11.0
1761958797908000,btc,1769760000000000,106000,call,45.18,44.66,45.45,0.113,111258.0262,0.62847,0.7
1761958798915000,btc,1764316800000000,60000,call,81.81,,153.13,0.4552,110092.54,0.99764,6.3
1761958799554000,btc,1764316800000000,155000,call,55.08,54.98,55.97,0.0007,110093.57,0.01404,277.4
1761958798915000,btc,1764316800000000,126000,call,40.7,40.7,41.58,0.0065,110092.54,0.12366,1499.5
1761958799650000,btc,1764316800000000,108000,call,41.54,41.07,42.01,0.055,110092.54,0.5893,628.3
1761958799922000,btc,1766736000000000,60000,call,72.73,58.15,80.28,0.4585,110563.34,0.9893,56.9
1761958798915000,btc,1766736000000000,400000,call,96.99,,100.68,0.0001,110563.5,0.00065,634.9
1761958798915000,btc,1766736000000000,190000,call,60.29,59.59,60.32,0.0011,110563.5,0.01426,1973.8
1761958798915000,btc,1766736000000000,138000,call,44.25,43.61,44.28,0.009,110563.5,0.11487,785.8
1761958798915000,btc,1766736000000000,120000,call,42.53,41.95,42.65,0.0343,110564.32,0.34018,7175.7
1761958797908000,btc,1766736000000000,102000,call,45.16,44.42,45.92,0.113,110564.34,0.70766,131.9
1761958798916000,btc,1790323200000000,320000,call,53.18,52.23,54.1,0.0067,116069.76,0.03931,86.8
1761958797908000,btc,1790323200000000,165000,call,46.96,46.63,47.26,0.064,116070.37,0.28532,1.9
